name;descriptor;nomenclature;abb;nameTraits;layer;lifeform;lifeformEllenberg;ldmc;height;seedmass;l;f;n;flood;chwet;legal;rlg;rlb;neophyte;continuity;sociality
Petasites_hybridus;"(L.) ""G. Gaertn., B. Mey. & Scherb.""";PL;Petahypr;Petasites_hybridus;herb;perannual;G,H;201,5;0,58;0,24;7;8;8;yes;no;NA;NA;NA;no;2;35310
Phalaris_arundinacea;L.;PL;Phalarun;Phalaris_arundinacea;herb;perannual;G,H;263;1,45;0,67;7;8;7;no;yes;NA;NA;NA;no;12;15100
Phragmites_australis;(Cav.) Trin. Ex Steud.;PL;Phraaust;Phragmites_australis;herb;perannual;G,A;428,69;2,5;0,14;7;10;7;no;no;NA;NA;NA;no;2;15110
Picea_abies;(L.) H.Karst.;PL;Piceabie;Picea_abies;herb;wood;P;NA;50;7,15;5;NA;NA;no;no;NA;NA;NA;no;8;73100
Pimpinella_major;(L.) Huds.;PL;Pimpmajo;Pimpinella_major;herb;perannual;H;207;0,63;2,12;7;5;6;no;no;NA;NA;NA;no;1;54210
Pleurospermum_austriacum;(L.) Hoffm.;PL;Pleuaust;Pleurospermum_austriacum;herb;perannual;H;NA;0,83;4,21;5;6;4;no;yes;NA;NA;NA;no;2;61100
Poa_compressa;L.;PL;Poacomp;Poa_compressa;herb;perannual;H;299;0,38;0,2;9;3;3;no;no;NA;NA;NA;no;1;36100
Poa_palustris;L.;PL;Poapalu;Poa_palustris;herb;perannual;H;334,45;0,82;0,17;7;9;7;yes;no;NA;NA;NA;no;2;15100
Potentilla_neumanniana;Rchb.;PL;Poteneum;Potentilla_neumanniana;herb;perannual;H;315;0,1;0,62;8;3;2;no;no;NA;NA;NA;no;1;53000
Primula_elatior;(L.) Hill;PL;Primelat;Primula_elatior;herb;perannual;H;139,32;0,1;0,34;6;6;7;no;no;NA;NA;NA;no;1;NA
Prunella_vulgaris;L.;PL;Prunvulg;Prunella_vulgaris;herb;perannual;H;165;0,15;0,67;7;5;NA;no;no;NA;NA;NA;no;1;54000
Prunus_padus;L.;PL;Prunpadu;Prunus_padus;herb;wood;P,N;153,73;9;80,5;5;8;6;yes;no;NA;NA;NA;no;5;84330
Pulmonaria_officinalis;L.;PL;Pulmoffi;Pulmonaria_officinalis;herb;perannual;H;114,2;0,15;3,64;5;5;6;no;no;NA;NA;NA;no;8;84300
Quercus_robur;L.;PL;Querrobu;Quercus_robur;herb;wood;P;280;40;3413;7;NA;NA;no;no;NA;NA;NA;no;4;84000
Ranunculus_repens;L.;PL;Ranurepe;Ranunculus_repens;herb;perannual;H;190,56;0,2;2,28;6;7;7;no;yes;NA;NA;NA;no;1;NA
Rosa_canina;L.;PL;Rosacani;Rosa_canina;herb;wood;N;NA;2;16,01;8;4;NA;no;no;NA;NA;NA;no;1;84400
Rubus_caesius;L.;PL;Rubucaes;Rubus_caesius;herb;perannual;zli;408;0,48;3,63;6;NA;7;no;no;NA;NA;NA;no;16;NA
Rubus_idaeus;L.;PL;Rubuidae;Rubus_idaeus;herb;perannual;n;283,73;1,3;1,8;7;NA;6;no;no;NA;NA;NA;no;1;NA
Salix_alba;L.;PL;Salialba;Salix_alba;herb;wood;P;298,62;17,5;0,12;5;8;7;yes;no;NA;NA;NA;no;1;81120
Salix_eleagnos;Scop.;PL;Salielea;Salix_eleagnos;herb;wood;N;NA;NA;NA;7;7;4;no;yes;NA;NA;NA;no;1;81110
Salvia_glutinosa;L.;PL;Salvglut;Salvia_glutinosa;herb;perannual;H;102,89;0,48;4,36;4;6;7;no;no;NA;NA;NA;no;1;84300
Scirpus_sylvaticus;L.;PL;Scirsylv;Scirpus_sylvaticus;herb;perannual;G;215,51;0,78;0,11;6;8;4;no;no;NA;NA;NA;no;1;54150
Scrophularia_nodosa;L.;PL;Scronodo;Scrophularia_nodosa;herb;perannual;H;182;0,6;0,09;4;6;7;no;no;NA;NA;NA;no;1;84300
Scutellaria_galericulata;L.;PL;Scutgale;Scutellaria_galericulata;herb;perannual;H;227,13;0,25;0,7;7;9;6;yes;no;NA;NA;NA;no;1;15140
Senecio_ovatus;Willd.;PL;Seneovat;Senecio_ovatus;herb;perannual;H;NA;NA;NA;7;5;8;no;no;NA;NA;NA;no;2;62130
Solidago_gigantea;Aiton;PL;Soligiga;Solidago_gigantea;herb;perannual;H,G;308;1,38;0,06;8;6;7;no;no;NA;NA;NA;yes;9;35000
Stachys_sylvatica;L.;PL;Stacsylv;Stachys_sylvatica;herb;perannual;H;207;0,53;1,42;4;7;7;no;no;NA;NA;NA;no;14;84330
Symphytum_officinale;L.;PL;Sympoffi;Symphytum_officinale;herb;perannual;H,G;81,73;0,65;8,32;7;7;8;no;no;NA;NA;NA;no;3;NA
Thalictrum_aquilegiifolium;L.;PL;Thalaqui;Thalictrum_aquilegiifolium;herb;perannual;H;205,36;0,68;2;5;8;7;yes;no;NA;V;NA;no;2;84330
Ulmus_glabra;Huds.;PL;Ulmuglab;Ulmus_glabra;herb;wood;P;254;30;11,2;4;6;7;no;no;NA;NA;NA;no;2;84340
Urtica_dioica;L.;PL;Urtidioi;Urtica_dioica;herb;perannual;H;212,5;0,9;0,18;NA;6;9;no;no;NA;NA;NA;no;2;35000
Valeriana_dioica;L.;PL;Valedioi;Valeriana_dioica;herb;perannual;H;160;0,17;0,63;7;8;2;no;no;NA;V;NA;no;4;54100
Valeriana_excelsa_subsp_excelsa;Poir.;RM;Valeexce;Valeriana_excelsa_subsp_excelsa;herb;perannual;H;NA;NA;NA;7;8;6;yes;no;NA;NA;NA;no;6;NA
Valeriana_officinalis;L.;PL;Valeoffi;Valeriana_officinalis;herb;perannual;H;140;0,53;0,96;7;8;5;no;yes;NA;NA;NA;no;1;54120
Viburnum_lantana;L.;PL;Vibulant;Viburnum_lantana;herb;wood;N;234,9;3,5;31,02;7;4;4;no;no;NA;NA;NA;no;5;84410
Vicia_cracca_sstr;L.;PL;Vicicracc;Vicia_cracca;herb;perannual;Hli;219,5;0,75;14,29;7;6;NA;no;no;NA;NA;NA;no;3;54000
Vinca_minor;L.;PL;Vincmino;Vinca_minor;herb;perannual;C;195;0,59;6,13;4;5;6;no;no;NA;NA;NA;no;4;84320
Viola_odorata;L.;PL;Violodor;Viola_odorata;herb;perannual;H;220;0,24;3,28;5;5;8;no;no;NA;NA;NA;no;2;35300
Carex SU3;NA;PL;NA;NA;herb;NA;NA;NA;NA;NA;NA;NA;NA;no;no;NA;NA;NA;NA;1;
